"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2930","Проверка, что после регистрации отображается форма входа","tests","2026-06-26","passed","2026-06-26","TestRegistration","test_registration","",""
"","4430","Проверка, что после входа отображается кнопка 'Выход","tests","2026-06-26","passed","2026-06-26","TestLogin","test_login","",""
"","8840","Проверка, что после создания рецепта в карточке отображается именно то название, которое было задано при создании","tests","2026-06-26","passed","2026-06-26","TestCreateRecept","test_create_recept","",""
"","3074","Проверка, что после регистрации открывается страница входа","tests","2026-06-26","passed","2026-06-26","TestRegistration","test_registration","",""
"","8822","Проверка, что после создания рецепта карточка с рецептом отображается на главной странице","tests","2026-06-26","passed","2026-06-26","TestCreateRecept","test_create_recept","",""
"","4456","Проверка, что после входа открывается главная страница с рецептами","tests","2026-06-26","passed","2026-06-26","TestLogin","test_login","",""
